Bib,Wave,Division,AgeDivision,Gender,PreviousBestTime,TimeToHut,TimeToRoad,TotalTime
0,8,OpenM,1,1,,10123,13102,13815
0,11,MastersW,2,0,,14491,18253,19078
0,10,OlderM,3,1,16181,9851,12706,13402
0,5,OlderM,3,1,12585,8935,11487,12155
0,0,MastersM,2,1,,7956,10444,11075
0,10,MastersW,2,0,17208,14331,17766,18480
0,4,OpenM,1,1,,7745,9931,10545
0,2,MastersM,2,1,,7923,10225,10844
0,10,OlderW,3,0,,11307,14635,15455
0,2,OpenM,1,1,,7944,10290,10858
0,8,OlderW,3,0,14205,10515,13434,14149
0,0,OpenM,1,1,9184,6319,8079,8570
0,6,OpenW,1,0,,11603,15181,15997
0,11,OpenM,1,1,,7368,9260,9781
0,5,MastersM,2,1,11208,9283,12191,12920
0,6,MastersW,2,0,11931,9677,12451,13147
0,10,OpenW,1,0,,13082,16379,17036
0,6,OlderM,3,1,,10396,13640,14407
0,0,OpenM,1,1,9320,6880,9006,9589
0,8,OpenW,1,0,14876,13320,16764,17516
0,10,OpenM,1,1,,10219,13590,14483
0,4,OpenW,1,0,,9488,12267,13010
0,2,OlderM,3,1,11115,7853,10022,10574
0,2,MastersM,2,1,,9703,12358,12989
0,9,MastersM,2,1,15506,11354,14609,15354
0,4,MastersW,2,0,11810,8791,11146,11695
0,3,OlderM,3,1,,,,
0,10,MastersM,2,1,,12148,15514,16249
0,11,OlderW,3,0,,13639,17485,18354
0,9,OlderM,3,1,14916,12845,16384,17236
0,2,MastersM,2,1,,7862,10107,10646
0,0,OpenW,1,0,10363,7873,10139,10725
0,5,OlderW,3,0,,10132,12905,13561
0,8,OpenM,1,1,,11235,14535,15377
0,1,OpenM,1,1,10552,6770,8792,9343
0,11,OlderW,3,0,17474,15886,20277,21359
0,7,OpenW,1,0,,10294,13337,13981
0,11,YoungW,0,0,,10823,14117,14897
0,11,OpenM,1,1,,13573,17075,17788
0,6,OlderM,3,1,13417,9228,12078,12828
0,5,OpenW,1,0,,10347,13406,14152
0,6,OpenW,1,0,13152,8833,11299,11903
0,10,YoungW,0,0,,9826,12445,13035
0,5,OlderM,3,1,12290,10492,13344,14004
0,2,MastersM,2,1,11205,8036,10359,10927
0,7,OpenM,1,1,,14035,18496,19536
0,4,MastersM,2,1,,8959,11567,12184
0,3,OlderM,3,1,,8172,10594,11244
0,10,MastersM,2,1,,11322,14312,14990
0,7,OpenM,1,1,13877,10233,13448,14302
0,8,MastersM,2,1,,12193,16017,16988
0,1,OpenM,1,1,,7462,9671,10245
0,5,OpenW,1,0,,10471,13312,13875
0,9,MastersM,2,1,,11972,15592,16499
0,4,OpenM,1,1,,8665,11069,11681
0,9,OpenW,1,0,14945,10549,13498,14194
0,9,OpenM,1,1,15138,10904,14348,15175
0,3,OpenM,1,1,,8196,10450,11019
0,8,OpenM,1,1,,9233,12015,12748
0,1,OpenW,1,0,10719,7451,9643,10228
0,3,OpenW,1,0,11479,8800,11037,11590
0,3,OpenW,1,0,,8820,11326,11910
0,2,MastersM,2,1,,8695,11267,11979
0,5,OpenM,1,1,12320,10308,13521,14268
0,9,OpenM,1,1,,10608,13897,14716
0,8,OlderM,3,1,10363,11824,15754,16591
0,10,MastersM,2,1,16699,12660,15900,16670
0,7,OpenM,1,1,,10532,13303,13959
0,8,OlderM,3,1,14534,9388,12654,13379
0,10,MastersW,2,0,15270,12119,15537,16323
0,9,OpenM,1,1,,,,
